dim_matriz,norma2 Cholesky,determinante Cholesky,tempo comp. Cholesky,norma2 sem Pivo,determinante sem Pivo,tempo comp. sem Pivo,norma2 solucao Numpy,determinante solucao Numpy,tempo comp. sol. Numpy
30,3.5239296488512696e-12,9.236597967870614e+121,0.016472816467285156,11.79221812395105,9.23659796787655e+121,0.006108283996582031,11.792218123946157,9.236597967881186e+121,0.00017571449279785156
31,8.286532177007851e-11,1.2135090676673877e+125,0.01792001724243164,47.187109613081,1.2135090676651125e+125,0.006490468978881836,47.18710961317249,1.2135090676627183e+125,0.00022363662719726562
32,6.375021248751296e-12,2.3916720645234053e+127,0.019526243209838867,7.893142411125888,2.391672064524635e+127,0.006951332092285156,7.8931424111273705,2.391672064524389e+127,0.00023102760314941406
33,1.0196460992208617e-09,3.912747952630019e+131,0.02118825912475586,72.3598276957616,3.91274795282114e+131,0.007435321807861328,72.35982769135646,3.9127479530595114e+131,0.00022292137145996094
34,5.7279517580165394e-09,1.7548304917781738e+135,0.022954702377319336,14966.477872141659,1.7548304899398927e+135,0.00786137580871582,14966.477888689094,1.7548304879996188e+135,0.0001983642578125
35,3.0837364275915924e-10,7.699051436584682e+140,0.023793458938598633,1696.7855076065282,7.699051437545871e+140,0.00835108757019043,1696.7855074290665,7.699051438350567e+140,0.0002334117889404297
36,3.847378952491283e-11,3.5672114021680274e+147,0.026551485061645508,10.649908902656069,3.567211402165261e+147,0.008797407150268555,10.649908902660544,3.5672114021643804e+147,0.00018477439880371094
37,4.043420069139727e-11,2.615830065918643e+150,0.02856731414794922,48.48623422058626,2.6158300658827428e+150,0.009335041046142578,48.48623422033923,2.61583006589245e+150,0.00019240379333496094
38,8.918878167858544e-11,1.438584863313382e+156,0.030627965927124023,267.526708349282,1.4385848632939593e+156,0.009818792343139648,267.526708353708,1.4385848632699126e+156,0.00020122528076171875
39,1.3995352025642972e-10,5.9978679405248625e+158,0.032999277114868164,23.761439453517724,5.997867940497083e+158,0.010360002517700195,23.76143945355054,5.99786794048963e+158,0.00020241737365722656
40,7.164190877765001e-12,7.294373565467445e+165,0.03558492660522461,11.235355253815134,7.294373565467085e+165,0.010915756225585938,11.235355253820709,7.294373565460741e+165,0.00020456314086914062
41,4.923914658812951e-10,3.487365129748125e+167,0.037702322006225586,1280.942005367357,3.487365129894106e+167,0.011433601379394531,1280.9420053769566,3.487365129867659e+167,0.00022339820861816406
42,2.386609400770934e-12,1.614416656670293e+176,0.03981471061706543,6.629279890873127,1.6144166566704476e+176,0.01196599006652832,6.629279890873119,1.6144166566705387e+176,0.0002429485321044922
43,7.594128034076888e-12,2.2568569714607678e+179,0.04314112663269043,7.528999722134625,2.2568569714603888e+179,0.012525796890258789,7.528999722134512,2.256856971460202e+179,0.000225067138671875
44,4.072409006801618e-11,2.1406109685529227e+185,0.045633554458618164,26.386954214071267,2.1406109685551303e+185,0.013087272644042969,26.38695421404663,2.1406109685571806e+185,0.00023555755615234375
45,9.478340006535138e-12,3.0555337164549524e+187,0.04832005500793457,9.284817135723214,3.055533716453526e+187,0.01377725601196289,9.284817135724522,3.0555337164526317e+187,0.00024318695068359375
46,2.97727783032171e-11,9.50114903372601e+192,0.051682233810424805,14.737949207902412,9.501149033744177e+192,0.014361381530761719,14.737949207873541,9.501149033762813e+192,0.0002918243408203125
47,1.382244229109253e-10,1.3676846410341836e+194,0.05502009391784668,94.972207701551,1.3676846410286946e+194,0.014589786529541016,94.97220770210329,1.367684641018154e+194,0.00028705596923828125
48,2.9335947481860465e-09,1.1859415685593427e+201,0.05828142166137695,3066.4517190955003,1.1859415683445684e+201,0.015618085861206055,3066.4517192411085,1.1859415682878084e+201,0.0002601146697998047
49,1.3494666884512185e-10,3.397461971039288e+205,0.06167268753051758,37.39355045608529,3.39746197101388e+205,0.016251087188720703,37.39355045595897,3.397461971042228e+205,0.0003001689910888672
50,1.783201810282829e-11,1.1960999451041949e+213,0.06525635719299316,7.373081428184518,1.1960999451050464e+213,0.01694488525390625,7.3730814281848795,1.1960999451037598e+213,0.0003917217254638672
51,2.0702589382853934e-11,3.7906653394490125e+216,0.06851553916931152,16.240216041411102,3.790665339452862e+216,0.017699718475341797,16.240216041411205,3.7906653394536866e+216,0.0020685195922851562
52,1.7951645085929577e-10,9.35927145932411e+221,0.07259654998779297,68.79444207030069,9.359271459297249e+221,0.01838517189025879,68.79444207055737,9.359271459261482e+221,0.0003428459167480469
53,9.875258613087886e-11,3.9062577019882593e+223,0.07632637023925781,56.58967274884053,3.9062577019977065e+223,0.01903843879699707,56.58967274907608,3.9062577019706066e+223,0.0003046989440917969
54,2.4602805445672013e-10,2.56400327481373e+229,0.08074307441711426,120.87154952766069,2.5640032747379884e+229,0.019740581512451172,120.87154952868846,2.5640032747158897e+229,0.00031113624572753906
55,3.8562739324477924e-11,4.0662071081024424e+234,0.08475279808044434,15.872190314032379,4.066207108103786e+234,0.020544052124023438,15.87219031400495,4.0662071081175474e+234,0.000335693359375
56,2.1674635569186887e-12,2.2925595148036933e+241,0.06708478927612305,7.703139712682912,2.292559514802589e+241,0.021361112594604492,7.703139712683099,2.292559514802287e+241,0.00038313865661621094
57,1.2185602957213219e-11,7.035733749460361e+244,0.09417581558227539,8.09134143901043,7.035733749455638e+244,0.019295692443847656,8.091341439010442,7.0357337494599e+244,0.00033736228942871094
58,1.176365517006054e-10,3.459685645371161e+246,0.09802937507629395,83.86649011090388,3.4596856453957385e+246,0.01720285415649414,83.86649011065032,3.4596856454101726e+246,0.0003509521484375
