dim_matriz,norma2 sem Pivo,determinante sem Pivo,norma2 com Pivo,determinante com Pivo,norma2 com Pivo Escalado,determinante com Pivo Escalado,norma2 solucao Numpy,determinante solucao Numpy
49,1064.7576485706404,0.0,203.06819256185054,-0.0,1059.9026843189606,0.0,97.51156542170881,-0.0
50,286.0374771569312,0.0,170.99538100145756,0.0,283.8258281858791,0.0,1244.1016645036357,-0.0
51,1578.2526992315707,-0.0,587.1415461293218,-0.0,1608.4270269094297,-0.0,309.7757207386002,-0.0
52,678.4122706234173,0.0,583.8931129594007,0.0,676.8401473408654,0.0,266.159384786729,0.0
53,322.7290426620476,0.0,796.4523079203993,0.0,322.4452538036553,0.0,164.32416505664906,-0.0
54,288.06715081867685,0.0,12257.095938488646,-0.0,289.04140499298717,0.0,197.14345480588082,0.0
55,186.31196908690166,0.0,583.5574961421659,0.0,187.01440854687075,0.0,346.7699040003902,-0.0
56,14288.23995031228,-0.0,462.928622722996,-0.0,14854.110779440804,-0.0,700.1636597272067,0.0
57,193.40447534637354,0.0,1294.5644924334936,0.0,193.50340191624153,0.0,1394.732139211219,0.0
58,903.2840155617433,0.0,901.1097686381711,0.0,904.249532823453,0.0,191.40490772334775,0.0
59,1064.3386955968126,-0.0,340.56491090034365,0.0,1032.4845855105398,-0.0,288.859856281366,-0.0
60,545.5681609077194,0.0,648.9271847340823,0.0,519.5404491722593,0.0,45155.951471632856,-0.0
61,2174.0797761140902,-0.0,1322.4130242432782,0.0,2151.3598493645386,-0.0,968.6791612711872,0.0
62,2474.815384123374,-0.0,216.91393894631565,-0.0,2474.912695981899,-0.0,113.96067045235466,-0.0
63,714.9818843357124,-0.0,264.5317728123012,-0.0,671.5504004499074,-0.0,699.6980833963426,-0.0
64,5508.2940943958,-0.0,1865.2692669900243,-0.0,5292.2529820066875,-0.0,1493.6969029232885,0.0
65,2676.48274619941,-0.0,474.68581479307664,0.0,2565.749399315785,-0.0,226.7609394425578,0.0
66,3652.3127255529594,-0.0,696.9632764168595,0.0,4074.9566462881426,-0.0,4710.577983666025,-0.0
67,497.63413420395136,-0.0,2641.64511359942,0.0,497.35979695725985,-0.0,186.99198879917546,-0.0
68,799.7312237127353,-0.0,22916.14750274034,-0.0,718.6802287638478,-0.0,1677.3868232080222,0.0
69,479.0434177155138,-0.0,1186.2292056132626,0.0,475.64853953083224,-0.0,3764.234574682744,-0.0
70,729.6176889673781,0.0,514.2536831423289,-0.0,729.0232870977209,0.0,166.36578583992764,-0.0
71,447.5454581573281,0.0,962.2542360741878,-0.0,446.78641820989026,0.0,3429.076669062885,-0.0
72,802.8950079948919,-0.0,337.4329922270877,0.0,849.6880512273528,-0.0,449.4328223748429,-0.0
73,465.38147631447595,-0.0,484.37598356231246,-0.0,443.93030831183694,-0.0,23672.54647212883,-0.0
74,1633.1477493046477,0.0,7864.603240685586,0.0,1638.6340919834108,0.0,486.36679086975823,0.0
75,7008.287087160612,-0.0,1245.8543323645538,-0.0,4356.672004279955,-0.0,366.3674308012939,0.0
76,5023.93958379503,0.0,646.6532720519875,-0.0,3255.8988976907604,0.0,2440.05968045032,0.0
77,3180.2261161441775,0.0,1242.8713425563724,-0.0,8507.932335120751,0.0,23582.32914717977,0.0
78,6378.650651966966,0.0,766.4953670923554,-0.0,1734.1177563050878,0.0,1963.9900778684284,-0.0
79,2118.0446791143436,0.0,2196.9362806357262,0.0,2555.718515129427,0.0,333.6677560964888,0.0
80,5598.263992367064,0.0,815.431313640387,-0.0,4310.342269092974,0.0,357.43299295627895,0.0
81,842.5214814142043,0.0,738.9671679245831,0.0,634.8311184746735,0.0,17319.204121250543,0.0
82,9842.67410730213,0.0,1826.2900880879022,-0.0,8877.716234034939,0.0,399.39904063819466,0.0
83,2420.6489290501554,0.0,38061.91592123244,-0.0,2380.405893371706,0.0,1811.6140219723743,-0.0
84,2235.9983748713667,0.0,8208.418902861198,0.0,2973.5843637173916,0.0,519.4714189809796,-0.0
85,724.9679867438025,0.0,747.8021935086188,-0.0,233774.86861391706,-0.0,520.5697639920683,0.0
86,603.7483515475573,-0.0,4265.340714978943,0.0,585.9093699603217,-0.0,371.22741159067857,0.0
87,1062.7203189789104,-0.0,4175.253698284587,-0.0,973.4102860152052,-0.0,557.985781243236,0.0
88,1684.7378969308943,-0.0,1123.0230458239187,-0.0,2846.366281801862,-0.0,982.1119545397819,0.0
89,12586.893014057998,0.0,1209.2763929994246,-0.0,955.3682364396941,0.0,610.723213126284,0.0
90,600.088405108177,-0.0,1226.4546802018929,-0.0,564.2230608398028,-0.0,216.83478395188766,0.0
91,999.9340635697449,0.0,3588.6389002469955,-0.0,1889.7554131229977,-0.0,5096.411887789191,0.0
92,2853.1680365613925,0.0,645.2770102050441,-0.0,12068.170273528835,0.0,1751.8440169646606,0.0
93,666.2713689174723,0.0,2406.7431103221015,0.0,15791.082779810931,0.0,31796.961141653508,-0.0
94,7884.550733305542,0.0,1231.4306052244315,0.0,3729.80782146719,0.0,705.2693842085407,-0.0
95,1531.5840785838861,0.0,1291.1725794819256,-0.0,1404.3636666836019,0.0,480.11181681001784,0.0
96,1194.6660415827537,-0.0,3204.8103256682202,-0.0,826.8984688123544,-0.0,524.6227232928386,-0.0
97,660.4528922729938,0.0,6898.615024636475,0.0,627.6785235306776,0.0,524.4939234724611,0.0
98,720.8326035134672,0.0,2997.098737288298,-0.0,727.1042498006373,0.0,2283.021483934499,-0.0
99,1399.2700189494376,0.0,4707.467780837065,0.0,1304.9433453494687,0.0,705.213518344294,0.0
